"","elementId","type","substitutionGroup","periodType","abstract","nillable","balance","ns"
"2932","ifrs_RevenueArisingFromExchangesOfGoodsOrServicesDividends","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2933","ifrs_RevenueArisingFromExchangesOfGoodsOrServicesInterest","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2934","ifrs_RevenueArisingFromExchangesOfGoodsOrServicesOtherRevenue","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2935","ifrs_RevenueArisingFromExchangesOfGoodsOrServicesRenderingOfServices","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2936","ifrs_RevenueArisingFromExchangesOfGoodsOrServicesRoyalties","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2937","ifrs_RevenueArisingFromExchangesOfGoodsOrServicesSaleOfGoods","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2938","ifrs_RevenueDiscontinuedOperations","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2939","ifrs_RevenueFromCommissions","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2940","ifrs_RevenueFromConstructionContracts","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2941","ifrs_RevenueFromDividends","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2942","ifrs_RevenueFromGovernmentGrants","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2943","ifrs_RevenueFromInterest","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2944","ifrs_RevenueFromRenderingOfServices","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2945","ifrs_RevenueFromRoyalties","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2946","ifrs_RevenueFromSaleOfGoods","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2947","ifrs_RevenueOfAcquiree","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2948","ifrs_RevenueOfCombinedEntity","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2949","ifrs_RevenueRecognisedOnExchangingConstructionServicesForFinancialAsset","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2950","ifrs_RevenueRecognisedOnExchangingConstructionServicesForIntangibleAsset","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2951","ifrs_RevenuesFromExternalCustomers","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2952","ifrs_RevenuesFromTransactionsWithOtherOperatingSegmentsOfSameEntity","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2953","ifrs_RevenuesOfAssociates","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2954","ifrs_ReversalOfImpairmentLoss","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2955","ifrs_ReversalOfImpairmentLossRecognisedInOtherComprehensiveIncome","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2956","ifrs_ReversalOfImpairmentLossRecognisedInOtherComprehensiveIncomeIntangibleAssetsOtherThanGoodwill","xbrli:monetaryItemType","xbrli:item","duration",NA,"true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2957","ifrs_ReversalOfImpairmentLossRecognisedInOtherComprehensiveIncomePropertyPlantAndEquipment","xbrli:monetaryItemType","xbrli:item","duration",NA,"true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2958","ifrs_ReversalOfImpairmentLossRecognisedInProfitOrLoss","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2959","ifrs_ReversalOfImpairmentLossRecognisedInProfitOrLossBiologicalAssets","xbrli:monetaryItemType","xbrli:item","duration",NA,"true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2960","ifrs_ReversalOfImpairmentLossRecognisedInProfitOrLossIntangibleAssetsOtherThanGoodwill","xbrli:monetaryItemType","xbrli:item","duration",NA,"true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2961","ifrs_ReversalOfImpairmentLossRecognisedInProfitOrLossInvestmentProperty","xbrli:monetaryItemType","xbrli:item","duration",NA,"true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2962","ifrs_ReversalOfImpairmentLossRecognisedInProfitOrLossPropertyPlantAndEquipment","xbrli:monetaryItemType","xbrli:item","duration",NA,"true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2963","ifrs_ReversalOfInventoryWritedown","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2964","ifrs_ReversalOfProvisionsForCostOfRestructuring","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2965","ifrs_RightsPreferencesAndRestrictionsAttachingToClassOfShareCapital","xbrli:stringItemType","xbrli:item","duration",NA,"true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2966","ifrs_SalesOfFinancialInstrumentsMeasuredInLevel3OfFairValueHierarchy","xbrli:stringItemType","xbrli:item","duration",NA,"true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2967","ifrs_SegmentInWhichNoncurrentAssetOrDisposalGroupHeldForSaleIsPresented","xbrli:stringItemType","xbrli:item","duration",NA,"true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
