"","elementId","lang","labelRole","labelString","href"
"28","tifrs-ar_AuditReportTypeSubdivision","zh-tw","http://www.xbrl.org/2003/role/label","查核報告類型細分","tifrs-ar-2014-03-31.xsd#tifrs-ar_AuditReportTypeSubdivision"
"29","tifrs-ar_DescriptionEmphasizeItemBody","en","http://www.xbrl.org/2003/role/label","Description of Matter Emphasized","tifrs-ar-2014-03-31.xsd#tifrs-ar_DescriptionEmphasizeItemBody"
"30","tifrs-ar_DescriptionEmphasizeItemBody","zh-tw","http://www.xbrl.org/2003/role/label","簡述強調事項內容","tifrs-ar-2014-03-31.xsd#tifrs-ar_DescriptionEmphasizeItemBody"
"31","tifrs-ar_DescriptionOtherItemBody","en","http://www.xbrl.org/2003/role/label","Description of Other Matter","tifrs-ar-2014-03-31.xsd#tifrs-ar_DescriptionOtherItemBody"
"32","tifrs-ar_DescriptionOtherItemBody","zh-tw","http://www.xbrl.org/2003/role/label","簡述其他事項內容","tifrs-ar-2014-03-31.xsd#tifrs-ar_DescriptionOtherItemBody"
"33","tifrs-ar_AccountantsReportBody","en","http://www.xbrl.org/2003/role/label","Content of Independent Auditors Report","tifrs-ar-2014-03-31.xsd#tifrs-ar_AccountantsReportBody"
"34","tifrs-ar_AccountantsReportBody","zh-tw","http://www.xbrl.org/2003/role/label","會計師查核報告內容","tifrs-ar-2014-03-31.xsd#tifrs-ar_AccountantsReportBody"
"35","tifrs-ar_UnqualifiedOpinionWithExplainatoryAbstract","en","http://www.xbrl.org/2003/role/label","Modified Unqualified Opinion","tifrs-ar-2014-03-31.xsd#tifrs-ar_UnqualifiedOpinionWithExplainatoryAbstract"
"36","tifrs-ar_UnqualifiedOpinionWithExplainatoryAbstract","zh-tw","http://www.xbrl.org/2003/role/label","修正式無保留意見","tifrs-ar-2014-03-31.xsd#tifrs-ar_UnqualifiedOpinionWithExplainatoryAbstract"
"37","tifrs-ar_QualifiedOpinionAbstract","en","http://www.xbrl.org/2003/role/label","Qualified Opinion","tifrs-ar-2014-03-31.xsd#tifrs-ar_QualifiedOpinionAbstract"
"38","tifrs-ar_QualifiedOpinionAbstract","zh-tw","http://www.xbrl.org/2003/role/label","保留意見","tifrs-ar-2014-03-31.xsd#tifrs-ar_QualifiedOpinionAbstract"
"39","tifrs-ar_AdverseOpinionAbstract","en","http://www.xbrl.org/2003/role/label","Adverse Opinion","tifrs-ar-2014-03-31.xsd#tifrs-ar_AdverseOpinionAbstract"
"40","tifrs-ar_AdverseOpinionAbstract","zh-tw","http://www.xbrl.org/2003/role/label","否定意見","tifrs-ar-2014-03-31.xsd#tifrs-ar_AdverseOpinionAbstract"
"41","tifrs-ar_DisclaimOpinionAbstract","en","http://www.xbrl.org/2003/role/label","Disclaimer of Opinion","tifrs-ar-2014-03-31.xsd#tifrs-ar_DisclaimOpinionAbstract"
"42","tifrs-ar_DisclaimOpinionAbstract","zh-tw","http://www.xbrl.org/2003/role/label","無法表示意見","tifrs-ar-2014-03-31.xsd#tifrs-ar_DisclaimOpinionAbstract"
"43","tifrs-ar_QualifiedOpinionAdditionOtherItemExplainatoryParagraph","en","http://www.xbrl.org/2003/role/label","Qualified Opinion with Explanatory Paragraph","tifrs-ar-2014-03-31.xsd#tifrs-ar_QualifiedOpinionAdditionOtherItemExplainatoryParagraph"
"44","tifrs-ar_QualifiedOpinionAdditionOtherItemExplainatoryParagraph","zh-tw","http://www.xbrl.org/2003/role/label","保留意見-附加其他事項說明段","tifrs-ar-2014-03-31.xsd#tifrs-ar_QualifiedOpinionAdditionOtherItemExplainatoryParagraph"
"45","tifrs-ar_ReportType","en","http://www.xbrl.org/2003/role/label","Type of Report","tifrs-ar-2014-03-31.xsd#tifrs-ar_ReportType"
"46","tifrs-ar_ReportType","zh-tw","http://www.xbrl.org/2003/role/label","報告類型","tifrs-ar-2014-03-31.xsd#tifrs-ar_ReportType"
"47","tifrs-ar_ReviewReport","en","http://www.xbrl.org/2003/role/label","Review Report","tifrs-ar-2014-03-31.xsd#tifrs-ar_ReviewReport"
"48","tifrs-ar_ReviewReport","zh-tw","http://www.xbrl.org/2003/role/label","核閱報告","tifrs-ar-2014-03-31.xsd#tifrs-ar_ReviewReport"
"49","tifrs-ar_AuditReport","en","http://www.xbrl.org/2003/role/label","Audit Report","tifrs-ar-2014-03-31.xsd#tifrs-ar_AuditReport"
"50","tifrs-ar_AuditReport","zh-tw","http://www.xbrl.org/2003/role/label","查核報告","tifrs-ar-2014-03-31.xsd#tifrs-ar_AuditReport"
"51","tifrs-ar_OtherItem","en","http://www.xbrl.org/2003/role/label","Others","tifrs-ar-2014-03-31.xsd#tifrs-ar_OtherItem"
"52","tifrs-ar_OtherItem","zh-tw","http://www.xbrl.org/2003/role/label","其他","tifrs-ar-2014-03-31.xsd#tifrs-ar_OtherItem"
"53","tifrs-ar_FinancialStatementWithoutAnAuditorsReport","en","http://www.xbrl.org/2003/role/label","Financial Statement Without an Auditors Report","tifrs-ar-2014-03-31.xsd#tifrs-ar_FinancialStatementWithoutAnAuditorsReport"
"54","tifrs-ar_FinancialStatementWithoutAnAuditorsReport","zh-tw","http://www.xbrl.org/2003/role/label","未經會計師查核或核閱","tifrs-ar-2014-03-31.xsd#tifrs-ar_FinancialStatementWithoutAnAuditorsReport"
"55","tifrs-ar_NotApplicableFinancialStatementWithoutAnAuditorsReport","en","http://www.xbrl.org/2003/role/label","Not Applicable (Financial Statement Without an Auditors Report)","tifrs-ar-2014-03-31.xsd#tifrs-ar_NotApplicableFinancialStatementWithoutAnAuditorsReport"
"56","tifrs-ar_NotApplicableFinancialStatementWithoutAnAuditorsReport","zh-tw","http://www.xbrl.org/2003/role/label","不適用(未經會計師查核或核閱)","tifrs-ar-2014-03-31.xsd#tifrs-ar_NotApplicableFinancialStatementWithoutAnAuditorsReport"
"57","tifrs-ar_FinancialStatementsOfNonmajorSubsidiaryOrInvestmentAccountedForUsingEquityMethodHaveNotBeenAuditedOrReviewed","en","http://www.xbrl.org/2003/role/label","Financial statements of non-major subsidiary or investment accounted for using equity method have not been audited or reviewed","tifrs-ar-2014-03-31.xsd#tifrs-ar_FinancialStatementsOfNonmajorSubsidiaryOrInvestmentAccountedForUsingEquityMethodHaveNotBeenAuditedOrReviewed"
