"","roleId","fromElementId","toElementId","arcrole","order","closed","usable","contextElement","preferredLabel","fromHref","toHref"
"38","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","tifrs-es_AppropriationAndDistributionOfRetainedEarnings","tifrs-es_StockDividendsOfPreferenceShare","http://xbrl.org/int/dim/arcrole/domain-member","6.0",NA,NA,NA,NA,"tifrs-es-2014-03-31.xsd#tifrs-es_AppropriationAndDistributionOfRetainedEarnings","tifrs-es-2014-03-31.xsd#tifrs-es_StockDividendsOfPreferenceShare"
"39","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","tifrs-es_AppropriationAndDistributionOfRetainedEarnings","tifrs-es_LegalReserveUsedToOffsetAccumulatedDeficits","http://xbrl.org/int/dim/arcrole/domain-member","7.0",NA,NA,NA,NA,"tifrs-es-2014-03-31.xsd#tifrs-es_AppropriationAndDistributionOfRetainedEarnings","tifrs-es-2014-03-31.xsd#tifrs-es_LegalReserveUsedToOffsetAccumulatedDeficits"
"40","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","tifrs-es_AppropriationAndDistributionOfRetainedEarnings","tifrs-es_SpecialReserveUsedToOffsetAccumulatedDeficits","http://xbrl.org/int/dim/arcrole/domain-member","8.0",NA,NA,NA,NA,"tifrs-es-2014-03-31.xsd#tifrs-es_AppropriationAndDistributionOfRetainedEarnings","tifrs-es-2014-03-31.xsd#tifrs-es_SpecialReserveUsedToOffsetAccumulatedDeficits"
"41","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","tifrs-es_AppropriationAndDistributionOfRetainedEarnings","tifrs-es_ReversalOfSpecialReserve","http://xbrl.org/int/dim/arcrole/domain-member","9.0",NA,NA,NA,NA,"tifrs-es-2014-03-31.xsd#tifrs-es_AppropriationAndDistributionOfRetainedEarnings","tifrs-es-2014-03-31.xsd#tifrs-es_ReversalOfSpecialReserve"
"42","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","ifrs_StatementOfChangesInEquityLineItems","tifrs-es_OtherChangesInCapitalSurplusAbstract","http://xbrl.org/int/dim/arcrole/domain-member","5.0",NA,NA,NA,NA,"../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_StatementOfChangesInEquityLineItems","tifrs-es-2014-03-31.xsd#tifrs-es_OtherChangesInCapitalSurplusAbstract"
"43","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","tifrs-es_OtherChangesInCapitalSurplusAbstract","tifrs-es_DueToBusinessCombination","http://xbrl.org/int/dim/arcrole/domain-member","1.0",NA,NA,NA,NA,"tifrs-es-2014-03-31.xsd#tifrs-es_OtherChangesInCapitalSurplusAbstract","tifrs-es-2014-03-31.xsd#tifrs-es_DueToBusinessCombination"
"44","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","tifrs-es_OtherChangesInCapitalSurplusAbstract","tifrs-es_DueToDonatedAssetsReceived","http://xbrl.org/int/dim/arcrole/domain-member","2.0",NA,NA,NA,NA,"tifrs-es-2014-03-31.xsd#tifrs-es_OtherChangesInCapitalSurplusAbstract","tifrs-es-2014-03-31.xsd#tifrs-es_DueToDonatedAssetsReceived"
"45","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","tifrs-es_OtherChangesInCapitalSurplusAbstract","tifrs-es_DueToRecognitionOfEquityComponentOfConvertibleBondsPreferenceShareIssued","http://xbrl.org/int/dim/arcrole/domain-member","3.0",NA,NA,NA,NA,"tifrs-es-2014-03-31.xsd#tifrs-es_OtherChangesInCapitalSurplusAbstract","tifrs-es-2014-03-31.xsd#tifrs-es_DueToRecognitionOfEquityComponentOfConvertibleBondsPreferenceShareIssued"
"46","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","tifrs-es_OtherChangesInCapitalSurplusAbstract","tifrs-es_ChangesInEquityOfAssociatesAndJointVenturesAccountedForUsingEquityMethod","http://xbrl.org/int/dim/arcrole/domain-member","4.0",NA,NA,NA,NA,"tifrs-es-2014-03-31.xsd#tifrs-es_OtherChangesInCapitalSurplusAbstract","tifrs-es-2014-03-31.xsd#tifrs-es_ChangesInEquityOfAssociatesAndJointVenturesAccountedForUsingEquityMethod"
"47","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","tifrs-es_OtherChangesInCapitalSurplusAbstract","tifrs-es_CapitalSurplusUsedToOffsetAccumulatedDeficits","http://xbrl.org/int/dim/arcrole/domain-member","5.0",NA,NA,NA,NA,"tifrs-es-2014-03-31.xsd#tifrs-es_OtherChangesInCapitalSurplusAbstract","tifrs-es-2014-03-31.xsd#tifrs-es_CapitalSurplusUsedToOffsetAccumulatedDeficits"
"48","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","tifrs-es_OtherChangesInCapitalSurplusAbstract","tifrs-es_StockDividendsFromCapitalSurplus","http://xbrl.org/int/dim/arcrole/domain-member","6.0",NA,NA,NA,NA,"tifrs-es-2014-03-31.xsd#tifrs-es_OtherChangesInCapitalSurplusAbstract","tifrs-es-2014-03-31.xsd#tifrs-es_StockDividendsFromCapitalSurplus"
"49","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","tifrs-es_OtherChangesInCapitalSurplusAbstract","tifrs-es_CashDividendsFromCapitalSurplus","http://xbrl.org/int/dim/arcrole/domain-member","7.0",NA,NA,NA,NA,"tifrs-es-2014-03-31.xsd#tifrs-es_OtherChangesInCapitalSurplusAbstract","tifrs-es-2014-03-31.xsd#tifrs-es_CashDividendsFromCapitalSurplus"
"50","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","tifrs-es_OtherChangesInCapitalSurplusAbstract","tifrs-es_OtherChangesInCapitalSurplus","http://xbrl.org/int/dim/arcrole/domain-member","8.0",NA,NA,NA,NA,"tifrs-es-2014-03-31.xsd#tifrs-es_OtherChangesInCapitalSurplusAbstract","tifrs-es-2014-03-31.xsd#tifrs-es_OtherChangesInCapitalSurplus"
"51","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","ifrs_StatementOfChangesInEquityLineItems","ifrs_ProfitLoss","http://xbrl.org/int/dim/arcrole/domain-member","6.0",NA,NA,NA,NA,"../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_StatementOfChangesInEquityLineItems","../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_ProfitLoss"
"52","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","ifrs_StatementOfChangesInEquityLineItems","ifrs_OtherComprehensiveIncome","http://xbrl.org/int/dim/arcrole/domain-member","7.0",NA,NA,NA,NA,"../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_StatementOfChangesInEquityLineItems","../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_OtherComprehensiveIncome"
"53","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","ifrs_StatementOfChangesInEquityLineItems","ifrs_ComprehensiveIncome","http://xbrl.org/int/dim/arcrole/domain-member","8.0",NA,NA,NA,NA,"../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_StatementOfChangesInEquityLineItems","../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_ComprehensiveIncome"
"54","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","ifrs_StatementOfChangesInEquityLineItems","tifrs-es_IssueOfShares","http://xbrl.org/int/dim/arcrole/domain-member","9.0",NA,NA,NA,NA,"../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_StatementOfChangesInEquityLineItems","tifrs-es-2014-03-31.xsd#tifrs-es_IssueOfShares"
"55","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","ifrs_StatementOfChangesInEquityLineItems","tifrs-es_CapitalReduction","http://xbrl.org/int/dim/arcrole/domain-member","10.0",NA,NA,NA,NA,"../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_StatementOfChangesInEquityLineItems","tifrs-es-2014-03-31.xsd#tifrs-es_CapitalReduction"
"56","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","ifrs_StatementOfChangesInEquityLineItems","tifrs-es_CapitalReductionToOffsetAccumulatedDeficits","http://xbrl.org/int/dim/arcrole/domain-member","11.0",NA,NA,NA,NA,"../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_StatementOfChangesInEquityLineItems","tifrs-es-2014-03-31.xsd#tifrs-es_CapitalReductionToOffsetAccumulatedDeficits"
"57","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","ifrs_StatementOfChangesInEquityLineItems","tifrs-es_CapitalReductionDueToSpinOff","http://xbrl.org/int/dim/arcrole/domain-member","12.0",NA,NA,NA,NA,"../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_StatementOfChangesInEquityLineItems","tifrs-es-2014-03-31.xsd#tifrs-es_CapitalReductionDueToSpinOff"
"58","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","ifrs_StatementOfChangesInEquityLineItems","tifrs-es_SharesIssuedForPursuantToAcquisitions","http://xbrl.org/int/dim/arcrole/domain-member","13.0",NA,NA,NA,NA,"../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_StatementOfChangesInEquityLineItems","tifrs-es-2014-03-31.xsd#tifrs-es_SharesIssuedForPursuantToAcquisitions"
"59","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","ifrs_StatementOfChangesInEquityLineItems","tifrs-es_SharesIssuedForPursuantToReorganization","http://xbrl.org/int/dim/arcrole/domain-member","14.0",NA,NA,NA,NA,"../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_StatementOfChangesInEquityLineItems","tifrs-es-2014-03-31.xsd#tifrs-es_SharesIssuedForPursuantToReorganization"
"60","http://www.xbrl.org/tifrs/fr/role/StatementOfChangesInEquity","ifrs_StatementOfChangesInEquityLineItems","tifrs-es_ConversionOfConvertibleBonds","http://xbrl.org/int/dim/arcrole/domain-member","15.0",NA,NA,NA,NA,"../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_StatementOfChangesInEquityLineItems","tifrs-es-2014-03-31.xsd#tifrs-es_ConversionOfConvertibleBonds"
