"","roleId","fromElementId","toElementId","arcrole","order","closed","usable","contextElement","preferredLabel","fromHref","toHref"
"1430","http://www.xbrl.org/tifrs/fr/role/StatementOfCashFlows","ifrs_CashFlowsFromUsedInOperatingActivitiesAbstract","ifrs_InterestReceivedClassifiedAsOperatingActivities","http://www.xbrl.org/2003/arcrole/parent-child","6.0",NA,NA,NA,NA,"../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_CashFlowsFromUsedInOperatingActivitiesAbstract","../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_InterestReceivedClassifiedAsOperatingActivities"
"1431","http://www.xbrl.org/tifrs/fr/role/StatementOfCashFlows","ifrs_CashFlowsFromUsedInOperatingActivitiesAbstract","ifrs_DividendsReceivedClassifiedAsOperatingActivities","http://www.xbrl.org/2003/arcrole/parent-child","7.0",NA,NA,NA,NA,"../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_CashFlowsFromUsedInOperatingActivitiesAbstract","../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_DividendsReceivedClassifiedAsOperatingActivities"
"1432","http://www.xbrl.org/tifrs/fr/role/StatementOfCashFlows","ifrs_CashFlowsFromUsedInOperatingActivitiesAbstract","ifrs_InterestPaidClassifiedAsOperatingActivities","http://www.xbrl.org/2003/arcrole/parent-child","8.0",NA,NA,NA,NA,"../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_CashFlowsFromUsedInOperatingActivitiesAbstract","../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_InterestPaidClassifiedAsOperatingActivities"
"1433","http://www.xbrl.org/tifrs/fr/role/StatementOfCashFlows","ifrs_CashFlowsFromUsedInOperatingActivitiesAbstract","ifrs_DividendsPaidClassifiedAsOperatingActivities","http://www.xbrl.org/2003/arcrole/parent-child","9.0",NA,NA,NA,NA,"../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_CashFlowsFromUsedInOperatingActivitiesAbstract","../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_DividendsPaidClassifiedAsOperatingActivities"
"1434","http://www.xbrl.org/tifrs/fr/role/StatementOfCashFlows","ifrs_CashFlowsFromUsedInOperatingActivitiesAbstract","ifrs_IncomeTaxesPaidRefundClassifiedAsOperatingActivities","http://www.xbrl.org/2003/arcrole/parent-child","10.0",NA,NA,NA,NA,"../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_CashFlowsFromUsedInOperatingActivitiesAbstract","../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_IncomeTaxesPaidRefundClassifiedAsOperatingActivities"
"1435","http://www.xbrl.org/tifrs/fr/role/StatementOfCashFlows","ifrs_CashFlowsFromUsedInOperatingActivitiesAbstract","tifrs-SCF_ProfitLossBeforeTax","http://www.xbrl.org/2003/arcrole/parent-child","3.0",NA,NA,NA,NA,"../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_CashFlowsFromUsedInOperatingActivitiesAbstract","tifrs-scf-2014-03-31.xsd#tifrs-SCF_ProfitLossBeforeTax"
"1436","http://www.xbrl.org/tifrs/fr/role/StatementOfCashFlows","ifrs_CashFlowsFromUsedInOperatingActivitiesAbstract","ifrs_ProfitLossBeforeTax","http://www.xbrl.org/2003/arcrole/parent-child","1.0",NA,NA,NA,NA,"../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_CashFlowsFromUsedInOperatingActivitiesAbstract","../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_ProfitLossBeforeTax"
"1437","http://www.xbrl.org/tifrs/fr/role/StatementOfCashFlows","ifrs_StatementOfCashFlowsAbstract","tifrs-SCF_CashFlowsFromUsedInOperatingActivitiesDirectMethodAbstract","http://www.xbrl.org/2003/arcrole/parent-child","2.0",NA,NA,NA,NA,"../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_StatementOfCashFlowsAbstract","tifrs-scf-2014-03-31.xsd#tifrs-SCF_CashFlowsFromUsedInOperatingActivitiesDirectMethodAbstract"
"1438","http://www.xbrl.org/tifrs/fr/role/StatementOfCashFlows","tifrs-SCF_CashFlowsFromUsedInOperatingActivitiesDirectMethodAbstract","ifrs_ClassesOfCashReceiptsFromOperatingActivitiesAbstract","http://www.xbrl.org/2003/arcrole/parent-child","1.0",NA,NA,NA,NA,"tifrs-scf-2014-03-31.xsd#tifrs-SCF_CashFlowsFromUsedInOperatingActivitiesDirectMethodAbstract","../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_ClassesOfCashReceiptsFromOperatingActivitiesAbstract"
"1439","http://www.xbrl.org/tifrs/fr/role/StatementOfCashFlows","ifrs_ClassesOfCashReceiptsFromOperatingActivitiesAbstract","ifrs_ReceiptsFromSalesOfGoodsAndRenderingOfServices","http://www.xbrl.org/2003/arcrole/parent-child","1.0",NA,NA,NA,NA,"../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_ClassesOfCashReceiptsFromOperatingActivitiesAbstract","../ifrs_20100430/ifrs-cor_2010-04-30.xsd#ifrs_ReceiptsFromSalesOfGoodsAndRenderingOfServices"
